unique.ID,lat,lon,site,date,plant.capture,ClusterIndex,FamilyID,bee.tag,year,species
sra.260.2015,4371920.216661452,734790.6557547363,JM05,2015-06-27,In Flight,1,s,Y50,2015,vosnesenskii
sra.16.2015,4371596.786668727,734610.8969094842,JM06,2015-06-13,Penstemon rydbergii,2,2,G42,2015,vosnesenskii
sra.96.2015,4371629.904001605,735040.1672055533,JM04,2015-06-18,Phacelia hydrophylloides,2,2,G88,2015,vosnesenskii
sra.112.2015,4371399.952789127,734527.9737695372,JM01,2015-06-19,Penstemon rydbergii,2,2,Y8,2015,vosnesenskii
sra.127.2015,4371803.011407663,734581.9176700695,JM07,2015-06-22,Ivesia sericoleuca,2,2,Y22,2015,vosnesenskii
sra.283.2015,4371627.602009882,734502.0517278854,JMX,2015-06-29,Phacelia hydrophylloides,2,2,Y59,2015,vosnesenskii
sra.291.2015,4371386.797087366,734875.0291295719,JMY,2015-06-29,Phacelia hydrophylloides,2,2,Y66,2015,vosnesenskii
sra.107.2015,4371929.962724999,734767.6247198393,JM05,2015-06-19,Phacelia hydrophylloides,3,3,Y1,2015,vosnesenskii
sra.259.2015,4371920.118312857,734772.745784035,JM05,2015-06-27,Phacelia hydrophylloides,3,3,Y49,2015,vosnesenskii
sra.82.2015,4371449.788506518,734742.8122723497,JM02,2015-06-17,Penstemon rydbergii,4,4,G74,2015,vosnesenskii
sra.98.2015,4371600.801565148,735036.7436234453,JM04,2015-06-18,Phacelia hydrophylloides,4,4,G92,2015,vosnesenskii
sra.42.2015,4371483.82989878,734685.5416635704,JM02,2015-06-17,Penstemon rydbergii,5,5,G61,2015,vosnesenskii
sra.212.2015,4371658.619002005,735071.0757513854,JM04,2015-06-26,Phacelia hydrophylloides,5,5,Y45,2015,vosnesenskii
sra.15.2015,4371576.936469283,734615.8039510658,JM06,2015-06-13,Penstemon rydbergii,6,6,G40,2015,vosnesenskii
sra.89.2015,4371653.679752444,735062.096507868,JM04,2015-06-18,Phacelia hydrophylloides,6,6,G82,2015,vosnesenskii
sra.151.2015,4371657.180438981,734528.5436952217,JMX,2015-06-23,Phacelia hydrophylloides,6,6,Y24,2015,vosnesenskii
sra.12.2015,4371593.862576527,734620.7173541022,JM06,2015-06-13,Penstemon rydbergii,7,7,G37,2015,vosnesenskii
sra.28.2015,4371512.6179466415,734329.7512623251,JM10,2015-06-14,Penstemon rydbergii,7,7,G48,2015,vosnesenskii
sra.100.2015,4371610.335594734,735054.3682369867,JM04,2015-06-18,Phacelia hydrophylloides,7,7,G90,2015,vosnesenskii
sra.118.2015,4371350.065093773,734568.3264041767,JM01,2015-06-19,Penstemon rydbergii,7,7,Y13,2015,vosnesenskii
sra.124.2015,4371849.826624667,734579.5531416833,JM07,2015-06-22,Ivesia sericoleuca,7,7,Y19,2015,vosnesenskii
sra.148.2015,4371602.933007942,734472.5688776539,JMX,2015-06-23,Phacelia hydrophylloides,7,7,Y27,2015,vosnesenskii
sra.153.2015,4371564.129596142,734519.3885109078,JMX,2015-06-23,Ribes sp.,7,7,Y29,2015,vosnesenskii
sra.198.2015,4371641.724973914,735063.5787685483,JM04,2015-06-26,Phacelia hydrophylloides,7,7,no tag,2015,vosnesenskii
sra.292.2015,4371394.504662079,734865.4078632655,JMY,2015-06-29,Phacelia hydrophylloides,7,7,Y68,2015,vosnesenskii
sra.54.2015,4371358.852448484,734528.270175942,JM01,2015-06-11,Penstemon rydbergii,8,8,G6,2015,vosnesenskii
sra.85.2015,4371473.370278284,734677.676497019,JM02,2015-06-17,Penstemon rydbergii,8,8,G80,2015,vosnesenskii
sra.80b.2015,4371427.619024885,734850.8825259544,JMY,2015-06-29,Phacelia hydrophylloides,8,8,Y82,2015,vosnesenskii
sra.ind03.2015,4370667.916793704,732907.8291930316,IN,2015-06-12,Lupinus breweri,8,8,NA,2015,vosnesenskii
sra.ind11.2015,4370701.178104961,732879.6123353103,IN,2015-06-12,Penstemon rydbergii,8,8,NA,2015,vosnesenskii
sra.80.2015,4371442.02238105,734757.8611092742,JM02,2015-06-17,Penstemon rydbergii,10,10,G76,2015,vosnesenskii
sra.115.2015,4371405.867163359,734528.8283536759,JM01,2015-06-19,Penstemon rydbergii,10,10,Y10,2015,vosnesenskii
sra.150.2015,4371570.337714016,734485.8706323712,JMX,2015-06-23,Phacelia hydrophylloides,10,10,Y26,2015,vosnesenskii
sra.338.2015,4371901.061026467,734796.4895112135,JM05,2015-07-14,Monardella odoratissima,11,s,W29,2015,vosnesenskii
sra.11.2015,4371592.532823533,734657.5323919174,JM06,2015-06-13,Penstemon rydbergii,12,12,G35,2015,vosnesenskii
sra.53.2015,4371378.4388502855,734529.313788818,JM01,2015-06-11,Penstemon rydbergii,12,12,G7,2015,vosnesenskii
sra.278.2015,4371586.800106398,734475.4683288996,JMX,2015-06-29,Phacelia hydrophylloides,12,12,Y57,2015,vosnesenskii
sra.295.2015,4371407.109285233,734845.0446382699,JMY,2015-06-29,Phacelia hydrophylloides,12,12,Y72,2015,vosnesenskii
sra.284.2015,4371579.6020581685,734542.345786169,JMX,2015-06-29,Phacelia hydrophylloides,13,s,Y61,2015,vosnesenskii
sra.110.2015,4371333.428509964,734514.225746545,JM01,2015-06-19,Penstemon rydbergii,14,14,Y4,2015,vosnesenskii
sra.122.2015,4371819.415507538,734565.9192529129,JM07,2015-06-22,Penstemon rydbergii,14,14,Y16,2015,vosnesenskii
sra.93.2015,4371638.86485748,735086.4882412928,JM04,2015-06-18,Phacelia hydrophylloides,15,s,G84,2015,vosnesenskii
sra.215.2015,4371650.092470412,735057.3824496764,JM04,2015-06-26,Phacelia hydrophylloides,16,16,Y47,2015,vosnesenskii
sra.81b.2015,4371428.842822703,734850.9315520528,JMY,2015-06-29,Phacelia hydrophylloides,16,16,Y85,2015,vosnesenskii
