gps.ID,year,unique.ID,unique.ID.old,bee.tag,bee.species,site,date.time,time,t.minutes,date,plant.capture,capture.abundance,queen,male,recap.ID,lon,lat
20,2015,sra.20.2015,sra.20.2015,NA,vosnesenskii,JM06,6/13/15 0:00,14:39:13,879.22,6/13/15,pen.ryd,5,NA,NA,G34,734592.4587833604,4371642.560423171
204,2015,sra.204.2015,sra.204.2015,NA,vosnesenskii,JM04,6/26/15 0:00,12:32:14,752.23,6/26/15,pha.hyd,4,NA,NA,G88,735042.8615005387,4371629.097183731
207,2015,sra.207.2015,sra.207.2015,NA,vosnesenskii,JM04,6/26/15 0:00,12:57:05,777.08,6/26/15,pha.hyd,3,NA,NA,G94,735069.9935794804,4371620.476378196
359,2015,sra.359.2015,sra.359.2015,NA,vosnesenskii,JM04,7/20/15 0:00,11:55:48,715.8,7/20/15,mon.odo,2,NA,NA,W43,735067.7619696215,4371603.187397654
423,2015,sra.423.2015,sra.423.2015,NA,vosnesenskii,JM10,7/24/15 0:00,12:26:14,746.23,7/24/15,unk.sm.pink,5,NA,NA,W27,734352.9184073993,4371580.981714364
424,2015,sra.424.2015,sra.424.2015,NA,vosnesenskii,JM10,7/24/15 0:00,12:40:10,760.17,7/24/15,aster,2,NA,NA,W27,734334.6500829916,4371549.986760261
405,2015,sra.405.2015,sra.405.2015,NA,vosnesenskii,JM07,7/22/15 0:00,14:39:17,879.28,7/22/15,aster,3,NA,NA,W30,734517.669890977,4371780.290084458
119,2015,sra.119.2015,sra.119.2015,NA,vosnesenskii,JM01,6/19/15 0:00,16:00:20,960.33,6/19/15,pen.ryd,4,NA,NA,Y11,734534.8860355832,4371410.605804313
287,2015,sra.287.2015,sra.287.2015,NA,vosnesenskii,JMX,6/29/15 0:00,11:11:14,671.23,6/29/15,pha.hyd,3,NA,NA,Y26,734532.6222029192,4371587.862776888
SH32,2015,sra.sh32.2015,sra.sh32vosi.2015,NA,vosnesenskii,SH,7/5/15 0:00,13:20:46,800.77,NA,in flight,NA,NA,NA,Y56,735559.1366293598,4368329.7924918365
348,2015,sra.348.2015,sra.348.2015,NA,vosnesenskii,JM03,7/18/15 0:00,11:49:28,709.47,7/18/15,eur.int,3,NA,NA,Y90,734739.5483728407,4371185.034623594
